network_packet_size,login_attempts,session_duration,ip_reputation_score,failed_logins,unusual_time_access,attack_detected,protocol_type_TCP,protocol_type_UDP,encryption_used_DES,browser_type_Edge,browser_type_Firefox,browser_type_Safari,browser_type_Unknown
308.8995143343276,17.57553738394157,15.902885253104818,0.47425587586493034,0.6931471805599453,0,1,True,False,True,True,False,False,False
250.46735665152943,15.826160515157472,22.985302040192863,0.2635704349022164,0.0,0,0,True,False,True,False,True,False,False
322.46671048556766,17.95735811542354,8.13061933071209,0.5534047265468075,1.0986122886681098,0,1,True,False,True,False,False,False,False
400.1386164419921,20.003465110874966,16.974567712462623,0.11624155997295549,0.0,0,1,False,True,True,False,False,False,True
241.56855854550406,15.542475946434791,16.312774587721417,0.05342119271123307,0.6931471805599453,0,0,True,False,False,False,True,False,False
241.56855854550406,15.542475946434791,14.587409819694619,0.3524059472196838,1.0986122886681098,1,0,False,True,False,False,False,False,False
404.9460928735827,20.123272419603694,18.06330154909501,0.34626125926639556,0.6931471805599453,0,1,False,False,False,False,False,False,False
333.26282396535464,18.25548750281281,3.6247579610904426,0.0932347237689534,1.3862943611198906,1,1,True,False,True,False,False,False,False
219.3520769422698,14.810539387283294,16.413021958052934,0.25818607694754575,0.0,1,0,True,False,False,False,False,False,False
312.9783092450917,17.6911929853555,16.30675931525004,0.3535516664980893,0.6931471805599453,0,0,False,True,False,False,False,False,False
219.82796175549672,14.826596431935979,16.78292534895162,0.11590904875612736,1.3862943611198906,0,1,False,True,True,False,True,False,False
219.3520769422698,14.810539387283294,11.502447669452453,0.29245412159928397,0.6931471805599453,0,1,False,True,True,True,False,False,False
285.6391775128836,16.900863217980422,11.396741500188575,0.34138773048123905,1.0986122886681098,1,0,True,False,False,False,False,True,False
72.96347936042282,8.54186626917226,18.866335986451443,0.3874992881069672,1.0986122886681098,0,1,True,False,True,False,False,False,True
93.67732244009456,9.678704584813742,8.247764993872682,0.30193667207286806,1.3862943611198906,0,1,True,False,False,False,False,False,False
